,close,high,low
2024-08-09,60868.88,61752.64,59573.13
2024-08-10,60940.82,61478.08,60270.33
2024-08-11,58725.0,61842.63,58331.17
2024-08-12,59360.89,60708.39,57677.54
2024-08-13,60609.73,61603.92,58440.76
2024-08-14,58698.05,61788.76,58461.76
2024-08-15,57552.92,59869.57,56132.98
2024-08-16,58893.67,59851.62,57106.84
2024-08-17,59497.94,59708.69,58815.46
2024-08-18,58439.22,60280.79,58433.69
2024-08-19,59464.41,59632.55,57828.14
2024-08-20,59027.55,61442.89,58588.82
2024-08-21,61170.8,61851.26,58806.66
2024-08-22,60387.29,61426.96,59756.43
2024-08-23,64087.8,64982.66,60351.28
2024-08-24,64180.77,64523.11,63591.53
2024-08-25,64264.62,65058.66,63828.67
2024-08-26,62850.27,64504.12,62816.08
2024-08-27,59441.73,63220.85,58045.32
2024-08-28,59043.5,60232.58,57868.47
2024-08-29,59369.85,61191.57,58735.81
2024-08-30,59129.05,59926.33,57725.72
2024-08-31,58989.17,59456.66,58759.04
2024-09-01,57313.44,59085.64,57217.94
2024-09-02,59147.8,59431.04,57135.27
2024-09-03,57481.84,59825.44,57411.84
2024-09-04,57975.52,58532.47,55625.58
2024-09-05,56167.4,58329.93,55651.61
2024-09-06,53954.33,57004.28,52552.05
2024-09-07,54167.82,54852.05,53742.58
2024-09-08,54879.33,55321.44,53631.93
2024-09-09,57056.31,58005.33,54591.28
2024-09-10,57642.43,58050.66,56397.36
2024-09-11,57354.27,58002.86,55554.25
2024-09-12,58140.61,58573.29,57330.99
2024-09-13,60581.0,60657.4,57658.3
2024-09-14,60000.1,60650.0,59478.3
2024-09-15,59135.1,60350.0,58679.1
2024-09-16,58197.2,59176.7,57488.7
2024-09-17,60317.2,61300.0,57619.9
2024-09-18,61777.7,61777.7,59164.6
2024-09-19,62922.1,63840.0,61599.2
2024-09-20,63210.2,64087.0,62373.3
2024-09-21,63376.1,63539.5,62801.0
2024-09-22,63615.2,64000.0,62440.6
2024-09-23,63332.4,64777.3,62643.0
2024-09-24,64271.8,64681.0,62739.4
2024-09-25,63139.2,64770.0,62917.4
2024-09-26,65183.5,65764.9,62673.3
2024-09-27,65788.9,66452.8,64841.2
2024-09-28,65878.4,66218.7,65475.7
2024-09-29,65610.0,66055.0,65474.4
2024-09-30,63338.5,65610.1,62883.9
2024-10-01,60819.1,64100.0,60203.4
2024-10-02,60635.3,62350.0,60000.0
2024-10-03,60739.6,61467.5,59850.0
2024-10-04,62081.0,62470.0,60451.6
2024-10-05,62049.0,62328.3,61700.0
2024-10-06,62809.3,62921.0,61824.9
2024-10-07,62234.6,64419.3,62150.8
2024-10-08,62117.9,63180.2,61825.4
2024-10-09,60558.0,62493.0,60300.0
2024-10-10,60279.5,61237.4,58888.0
2024-10-11,62502.5,63414.5,60063.4
2024-10-12,63184.0,63445.0,62495.0
2024-10-13,62834.9,63273.0,62029.9
2024-10-14,66025.5,66400.0,62465.0
2024-10-15,67060.5,67871.1,64686.1
2024-10-16,67589.9,68328.6,66751.5
2024-10-17,67407.8,67899.9,66644.5
2024-10-18,68440.3,68980.3,67189.9
2024-10-19,68374.9,68632.7,68062.2
2024-10-20,69010.5,69315.0,68129.4
2024-10-21,67385.1,69447.8,66838.6
2024-10-22,67387.6,67750.0,66564.4
2024-10-23,66633.4,67407.5,65199.0
2024-10-24,68170.1,68794.2,66452.2
2024-10-25,66606.8,68699.0,65531.0
2024-10-26,67026.0,67348.4,66364.0
2024-10-27,67941.2,68196.0,66850.4
2024-10-28,69911.9,70200.0,67535.0
2024-10-29,72661.0,73574.9,69720.1
2024-10-30,72331.1,72887.9,71400.0
2024-10-31,70250.1,72662.0,69602.0
2024-11-01,69490.1,71576.0,68810.0
2024-11-02,69300.0,69858.8,69060.0
2024-11-03,68748.7,69363.3,67483.7
2024-11-04,67783.3,69430.6,66836.0
2024-11-05,69382.7,70482.0,67481.4
2024-11-06,75642.0,76457.6,69341.0
2024-11-07,75949.2,76937.5,74500.0
2024-11-08,76550.4,77242.0,75713.0
2024-11-09,76728.3,76911.0,75785.2
2024-11-10,80423.3,81480.7,76569.9
2024-11-11,88737.6,89600.0,80299.9
2024-11-12,88087.3,89920.0,85136.0
2024-11-13,90490.9,93435.0,86258.0
2024-11-14,87313.2,91780.0,86621.9
